Urban area,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,College,High school,No high school,Has rapid transit
"Lafayette--Louisville--Erie, CO",0.764414955,0.010603871,4215,0.976041835,0.928619266,1835,0.4128,0.673558215,0.292525556,0.033916229,No
"Lake Charles, LA",0.944214637,0.023474111,778,0.91760561,0.752102327,813,0.4648,0.261961903,0.621968731,0.116069366,No
"Lake Jackson--Angleton, TX",0.963905473,0.004079602,446,0.821747385,0.87650961,1052,0.4465,0.235316054,0.608595935,0.15608801,No
"Lakeland, FL",0.930989366,0.014667156,2016,0.898433345,0.671299805,957,0.445,0.218303618,0.667954332,0.11374205,No
"Lancaster, PA",0.897887739,0.037296004,4763,0.933129743,0.793957189,980,0.4124,0.309225256,0.576916412,0.113858332,Yes
"Lancaster--Palmdale, CA",0.926653084,0.004912021,2049,0.937021404,0.845827988,1205,0.4407,0.151895277,0.637288983,0.21081574,Yes
"Lansing, MI",0.854732053,0.049200239,5637,0.955743798,0.823244178,850,0.4645,0.399981781,0.528190932,0.071827287,No
"Laredo, TX",0.930924619,0.013371883,1022,0.708281587,0.62985827,805,0.4662,0.176022855,0.521975254,0.302001891,No
"Las Cruces, NM",0.876957959,0.013075106,1752,0.915680968,0.756645204,731,0.4891,0.283075082,0.575935876,0.140989042,No
"Las Vegas--Henderson, NV",0.881442318,0.016184385,17528,0.880636858,0.827326232,1084,0.4666,0.24373718,0.61616112,0.1401017,Yes
"Lawton, OK",0.827175464,0.04448407,318,0.852984384,0.858512691,773,0.4548,0.216008228,0.701452789,0.082538983,No
"Lebanon, PA",0.903844638,0.052216645,557,0.901996954,0.793907821,811,0.4004,0.196908216,0.702797328,0.100294456,No
"Leesburg--Eustis--Tavares, FL",0.903583586,0.010848016,505,0.882056452,0.831479205,914,0.4271,0.225305366,0.661218946,0.113475688,No
"Lee's Summit, MO",0.895329735,0.009472808,2296,0.946638568,0.898972402,1112,0.371,0.456969355,0.498946425,0.04408422,No
"Leominster--Fitchburg, MA",0.893313835,0.02098354,1577,0.947944353,0.840236033,909,0.4554,0.245278391,0.625754231,0.128967378,No
"Lexington-Fayette, KY",0.879989902,0.037160644,3674,0.939410981,0.88504212,853,0.4872,0.436138602,0.488435942,0.075425456,Yes
"Lima, OH",0.917426091,0.017948163,572,0.921589843,0.800904822,643,0.4251,0.188607944,0.696070314,0.115321742,No
"Lincoln, NE",0.910185501,0.03164823,6010,0.925089887,0.874969594,818,0.4432,0.383921455,0.544961016,0.071117528,Yes
"Little Rock, AR",0.922253687,0.014620879,8181,0.930578384,0.806031373,841,0.4803,0.339493036,0.579293778,0.081213186,Yes
"Livermore, CA",0.889819019,0.014138458,2687,0.982667476,0.914793979,1868,0.4195,0.470148423,0.463117036,0.066734541,No
"Lodi, CA",0.922356679,0.010749054,112,0.916737849,0.870191521,1064,0.4818,0.209949937,0.584368854,0.205681209,No
"Logan, UT",0.844764352,0.055641634,1218,0.916869448,0.859882096,796,0.4266,0.421413327,0.508938537,0.069648137,No
"Longmont, CO",0.853617436,0.005411174,1989,0.939951055,0.881269139,1298,0.4386,0.429431007,0.484679791,0.085889202,No
"Longview, TX",0.939096769,0.021102342,215,0.805840872,0.830819117,839,0.4997,0.203025333,0.658116153,0.138858514,No
"Lorain--Elyria, OH",0.953341724,0.015624801,1596,0.941180765,0.744627779,700,0.4518,0.16998949,0.69490483,0.135105679,No
"Los Angeles--Long Beach--Anaheim, CA",0.850584932,0.024036732,156696,0.911621717,0.85941439,1463,0.4917,0.333646606,0.465014941,0.201338453,Yes
"Louisville/Jefferson County, KY--IN",0.893288906,0.014749767,14100,0.949567789,0.832842031,826,0.4611,0.312028098,0.595372018,0.092599884,No
"Lubbock, TX",0.937154063,0.020582282,2286,0.869728762,0.796876969,898,0.5037,0.310684693,0.553933376,0.135381932,No
"Lynchburg, VA",0.858964289,0.040094986,783,0.930082766,0.806676783,819,0.4201,0.329998889,0.561589974,0.108411137,No
